Occupation Group,Occupation Group Definition,Occupation,Occupation Definition,Rurality,Year,Supply,Fewer Graduates,More Graduates,Retire Early,Retire Late,Demand,Increased Insurance Coverage,Improved Population Health,Racial Equity,Improved Access (combination scenario),Geographic Parity,Percent Adequacy
Women's Health,"Women's health refers to the influence of sex and gender on health, wellness, disability, and disease status across the lifespan.",Physician Assistants (WH),"Provide healthcare services typically performed by a physician, under the supervision of a physician. Conduct complete physicals, provide treatment, and counsel patients. May, in some cases, prescribe medication. Must graduate from an accredited educational program for physician assistants.",Total,2026,"2,030",1960,2130,2010,2090,"1,530",1580,,1640,1700,,133%
Women's Health,"Women's health refers to the influence of sex and gender on health, wellness, disability, and disease status across the lifespan.",Physician Assistants (WH),"Provide healthcare services typically performed by a physician, under the supervision of a physician. Conduct complete physicals, provide treatment, and counsel patients. May, in some cases, prescribe medication. Must graduate from an accredited educational program for physician assistants.",Metro,2027,"1,770",1710,1870,1750,1820,"1,380",,,,1540,,128%
Women's Health,"Women's health refers to the influence of sex and gender on health, wellness, disability, and disease status across the lifespan.",Physician Assistants (WH),"Provide healthcare services typically performed by a physician, under the supervision of a physician. Conduct complete physicals, provide treatment, and counsel patients. May, in some cases, prescribe medication. Must graduate from an accredited educational program for physician assistants.",Nonmetro,2027,330,310,350,330,340,150,,,,170,,220%
Women's Health,"Women's health refers to the influence of sex and gender on health, wellness, disability, and disease status across the lifespan.",Physician Assistants (WH),"Provide healthcare services typically performed by a physician, under the supervision of a physician. Conduct complete physicals, provide treatment, and counsel patients. May, in some cases, prescribe medication. Must graduate from an accredited educational program for physician assistants.",Total,2027,"2,100",2020,2220,2080,2160,"1,530",1590,,1640,1710,,137%
Women's Health,"Women's health refers to the influence of sex and gender on health, wellness, disability, and disease status across the lifespan.",Physician Assistants (WH),"Provide healthcare services typically performed by a physician, under the supervision of a physician. Conduct complete physicals, provide treatment, and counsel patients. May, in some cases, prescribe medication. Must graduate from an accredited educational program for physician assistants.",Metro,2028,"1,820",1750,1920,1800,1880,"1,380",,,,1540,,132%
Women's Health,"Women's health refers to the influence of sex and gender on health, wellness, disability, and disease status across the lifespan.",Physician Assistants (WH),"Provide healthcare services typically performed by a physician, under the supervision of a physician. Conduct complete physicals, provide treatment, and counsel patients. May, in some cases, prescribe medication. Must graduate from an accredited educational program for physician assistants.",Nonmetro,2028,350,330,380,350,360,150,,,,170,,233%
Women's Health,"Women's health refers to the influence of sex and gender on health, wellness, disability, and disease status across the lifespan.",Physician Assistants (WH),"Provide healthcare services typically performed by a physician, under the supervision of a physician. Conduct complete physicals, provide treatment, and counsel patients. May, in some cases, prescribe medication. Must graduate from an accredited educational program for physician assistants.",Total,2028,"2,170",2080,2300,2150,2240,"1,530",1590,,1640,1710,,142%
Women's Health,"Women's health refers to the influence of sex and gender on health, wellness, disability, and disease status across the lifespan.",Physician Assistants (WH),"Provide healthcare services typically performed by a physician, under the supervision of a physician. Conduct complete physicals, provide treatment, and counsel patients. May, in some cases, prescribe medication. Must graduate from an accredited educational program for physician assistants.",Metro,2029,"1,860",1790,1970,1850,1930,"1,380",,,,1540,,135%
Women's Health,"Women's health refers to the influence of sex and gender on health, wellness, disability, and disease status across the lifespan.",Physician Assistants (WH),"Provide healthcare services typically performed by a physician, under the supervision of a physician. Conduct complete physicals, provide treatment, and counsel patients. May, in some cases, prescribe medication. Must graduate from an accredited educational program for physician assistants.",Nonmetro,2029,370,350,410,370,380,150,,,,170,,247%
Women's Health,"Women's health refers to the influence of sex and gender on health, wellness, disability, and disease status across the lifespan.",Physician Assistants (WH),"Provide healthcare services typically performed by a physician, under the supervision of a physician. Conduct complete physicals, provide treatment, and counsel patients. May, in some cases, prescribe medication. Must graduate from an accredited educational program for physician assistants.",Total,2029,"2,230",2140,2380,2220,2310,"1,530",1590,,1650,1710,,146%
